QueryNumber;Precision@5;Precision@10;F1
1;884.3;889.4;0.06
2;640.03;645.03;0.02
3;949.2;954.2;0.08
4;440.05;445.06;0.04
5;441.5;446.4;0.23
6;907.2;912.2;0.06
7;955.2;960.2;0.04
8;722.1;727.2;0.04
9;677.05;677.05;0.02
10;890.2;895.2;0.06
11;215.6;220.8;0.14
12;937.1;937.1;0.02
13;868.03;868.03;0.04
14;932.5;937.6;0.09
15;413.3;418.4;0.19
16;741.8;742.78;0.27
17;932.2;937.4;0.08
18;866.1;871.2;0.04
19;935.3;940.4;0.04
20;922.6;927.8;0.08
21;879.1;884.2;0.04
22;397.5;402.4;0.14
23;616.07;621.08;0.06
24;779.03;784.02;0.06
25;653.5;658.2;0.11
26;391.5;396.6;0.07
27;538.1;543.2;0.02
28;412.3;417.6;0.11
29;420.05;420.05;0.07
30;737.1;737.1;0.04
31;886.5;891.4;0.07
32;880.1;880.1;0.04
33;338.3;343.6;0.22
34;403.5;408.4;0.15
35;801.03;801.03;0.02
36;866.03;866.03;0.02
37;667.9;672.8;0.21
38;379.1;384.2;0.09
39;597.7;598.78;0.29
40;783.3;788.2;0.22
41;939.1;944.2;0.02
42;890.4;895.6;0.08
43;487.3;487.3;0.23
44;868.4;873.4;0.24
45;881.1;881.1;0.04
46;885.1;885.1;0.04
47;979.2;984.2;0.11
48;936.4;941.4;0.06
49;930.6;931.67;0.08
50;887.1;892.2;0.06
51;1144.4;1149.2;0.35
52;0.0;0.0;0.0
53;858.4;863.4;0.06
54;971.3;976.2;0.11
55;833.03;838.04;0.04
56;892.1;897.2;0.06
57;863.5;868.8;0.11
58;891.4;896.2;0.18
59;907.1;912.2;0.24
60;512.15;517.07;0.08
61;890.3;895.4;0.11
62;997.4;1002.4;0.23
63;851.1;856.2;0.06
64;920.2;925.4;0.09
65;902.4;907.4;0.16
66;970.1;975.2;0.11
67;756.4;761.4;0.04
68;848.1;853.2;0.09
69;819.05;824.06;0.02
70;854.07;859.04;0.04
71;1076.2;1081.4;0.02
72;882.2;887.4;0.02
73;851.2;856.2;0.04
74;914.2;914.2;0.02
75;908.4;913.8;0.04
76;897.1;902.2;0.02
77;877.3;882.6;0.11
78;910.2;915.4;0.15
79;891.3;896.6;0.08
80;297.3;302.6;0.13
81;879.1;884.2;0.06
82;996.1;996.1;0.09
83;980.1;985.2;0.06
84;848.3;853.4;0.04
85;870.03;870.03;0.06
86;991.5;996.6;0.1
87;984.2;989.4;0.08
88;983.1;988.2;0.02
89;870.3;870.3;0.04
90;868.4;873.4;0.06
91;732.5;737.8;0.36
92;840.4;845.4;0.19
94;396.7;401.6;0.13
95;804.01;809.01;0.02
96;991.2;991.2;0.02
97;911.2;916.2;0.02
98;562.1;567.2;0.04
99;376.01;376.01;0.02
100;856.1;861.03;0.02
